Schlagwort;Idee;Problem;Lösung
Mobilität;„Bamberger Schrotträder“ werden zu „Bamberger Leihrädern“;Um die Mobilität für Tagesgäste und Touristen in Städten zu verbessern, werden in vielen Städten Leihdienste externer Dienstleister eingerichtet, z.B. in Form von Leihfahrrädern oder E-Scootern, wie in Bamberg. Die Probleme dieser Leihsysteme sind inzwischen bekannt: E-Scooter stehen oftmals kreuz und quer in den Städten rum und landen z.T. zu hunderten in Flüssen wie in München oder Köln (und Bamberg?) und kaputte Leihräder dürfen Kommunen oftmals auch nicht einmal beseitigen, da das Leihfahrrad Eigentum des Anbieters ist. ;"Statt E-Scooter oder Leihfahrräder externer Anbieter zu nutzen, könnten in der Stadt Bamberg die bereits bestehenden Ressourcen genutzt werden.

Die „Bamberger Schrottfahräder“ könnten in Zusammenarbeit mit lokalen (Repair-) Initiativen und Gemeinnützigen Einrichtungen wieder fahrtüchtig gemacht werden.

Diese „neuen Bamberger Leihräder“ werden z.B. sogar neu lackiert und entsprechend als „Bamberger Leihrad“ deutlich gekennzeichnet.

Das Leihen könnte ähnlich der bestehenden Systeme funktionieren und über ein Schloss mit Transponder erfolgen. Dabei könnte das Buchungsystem und die Transponderschlösser an den Fahrrädern entweder von den STWB selbst oder von einem externen Dienstleister betrieben werden. Das eigentliche Fahrrad bleibt dabei quasi „Eigentum“ der Stadt oder des lokalen Repair-Vereins.

Die Einnahmen durch das Leihsystem würden anteilig den Repair-Initiativen wieder zugutekommen."
Mobilität;Bewegungsprofile verschiedener Gruppen;Es ist unklar wie veschiedene Gruppen sich in Bamberg bewegen und damit wie sie den Raum der Stadt nutzen. ;Sammlung von Bewegungsdaten von verschiedenen Gruppen (z.B. Einheimische, Studierende, Tourist:innen). So können spezifische mittlere Bewegungsprofile bezüglich Ort und Verweildauer erstellt und ausgewertet werden. Die Sammlung der Daten erfolgt auf freiwilliger Basis und anonymisiert und durch anhand von GPS-Daten 
Kultur;Personalisierte und intelligente Stadtführung;Tourist:innen konzentrieren sich auf weniger Orte, andere interessante Plätze bleiben unbesucht ;Anhand eines Fragebogens werden die persönlichen Interessen erfragt und basierend darauf eine personalisierte Stadtführung inlusive Audiokommentar zusammengestellt. Die Route der Führung passt sich den Standorten der Nutzer:innen an, sodass Orte nicht überlaufen werden. Darüber hinaus hat die Stadt die Möglichkeit einzelne Orte permanent oder primär aus dem Algorithmus zu nehmen um auch so Ballungen zu vermeiden oder auf bestimmte Orte hinzuweisen. 
Digitalisierung;Gaming Campus ;Obwohl inzwischen eine multimilliarden Industrie wird das Thema Gaming von der Forschung und Politik teilweise eindimensional bzw. steifmütterlich behandelt. ein umdenken ist erst seit einigen, wenigen Jahren ersichtlich.;Aufbau eines Gaming Campus, in dem Raum für Nachwuchsförderung in Sache E-Sport und wissenschaftliche Kooperation besteht. Lokale Kooperation mit der Universität Bamberg und Bayreuth (Erfahrung mit Game Studies) 
Stadtgestaltung;Garbage Collector;Ein gegenwärtiges Problem, das bereits unter verschiedenen anderen Perspektiven beleuchtet wurde, ist die Verbreitung von Müll in der Stadt. Vor allem auf den Grünflächen oder zum Teil am Wegrand sammelt sich oft viel an. Außerdem gibt es weitere Verschmutzungen, wie z.B. Graffiti. Selbst wenn man gewollt ist seinen Teil dazu beizutragen den Müll zu reduzieren, ist der Aufwand Putzmittel, Mülltüten oder Müllzangen über Umwege von Zuhause zu holen für die meisten verständlich hoch und zeitaufwändig.;"Inspiriert von dem auf der Startseite beliebten Thema der ""digitalen Spielschränke"" ist die Lösung recht simpel. Dort ist das Prinzip: ""Wer sich in unserem Schlosspark ein Spielgerät ausleihen will, scannt den QR-Code, wählt aus, bezahlt per Handy und die Tür öffnet sich""

Neben Spielschränken könnten zusätzlich sogenannte Garbage Collectoren (Müllschränke) installiert werden. Dort kann jeder über eine digitale Lösung (z.B. QR,App, ...) Zugang zu bereitgestellten Putzmitteln (Müllsäcke, Müllzangen, Eimer & Lappen) erhalten, der Müllbeseitigung helfen und alles ohne großen Aufwand wieder in den Schrank zurückbringen.

Wenn das ganze als App entsteht, könnte man den nächsten Garbage Collector bequem über eine mobile Karte finden und erhält auch Informationen darüber, ob dieser gerade noch alle Putzmittel hat. Als Belohnung könnten NutzerInnen Punkte in der App für die getätigte Zeit bekommen und z.B. Online-Abzeichen und Gutscheine bekommen. Auch Wettbewerbe & Aktionen sind möglich.

Müllsammelgruppen können sich so einfacher und schneller organisieren, ohne sich darauf vorbereiten zu müssen. Die Hemmschwelle Müll aufzuheben wird geringer & Motivation zum Sammeln kann durch App gesteigert werden.
"
Digitalisierung;Modernes Silvester: Lichtshow mit Drohnen statt Böllern!;Modernes Silvester: Lichtshow mit Drohnen statt Böllern!;"Ganz im Sinne der modernen/digitalen Stadt schlage ich vor den Bürgern ein Gegenangebot zu machen. Statt zu Böllern könnte es ein anderes Event geben, dass noch spektakulärer, leise, ohne Müll oder Brandgefahr sttafinden kann:
Eine Lichtshow mit Drohnen, wie es bereits sehr viele große Städte vorgemacht haben. [2] + [3] Dadurch wird elegant der Event-Charakter von Silvester beibehalten und in die Moderne übersetzt. Eine Finanzierung könnte über verschiedene Wege ablaufen. Entweder in Kooperation mit Unternehmen, die dafür Werbung zeigen dürfen oder über Bürgerspenden: Eventuell kann man sich eine Botschaft im Himmel erkaufen.

Auch ""Smart City"" könnte damit den ersten Schritt in Richtung Zukunft zeigen, denn die Stadt mit dem Projekt vor sich hat."
Digitalisierung;Digitales Schenk & Tauschportal;"Wer kennt sie nicht? Die Bamberger ""Zu Verschenken""-Boxen. Je nach Perspektive sind sie eine einfache, schöne Geste, um nicht mehr gebrauchte Gegenstände an neue Eigentümer zu verschenken ohne sie wegschmeißen zu müssen oder können auch als Hindernis auf Gehwegen und Müllverursacher bei schlechtem Wetter betrachtet werden.

Wie kann man die Vorteile weiter beibehalten und sogar erweitern auf bisher ungeignete Objekte und gleichzeitig möglichen Müll vermeiden?";"Nicht als Ersatz sondern als Zusatz könnte ein digitales (lokales) Schenk- und Tauschportal erstellt werden. Dabei kann eine ""Geschenkbox"" bei schlechtem Wetter auch digital erstellt und somit öffentlich gemacht werden. Auch können nun Dinge wie Lebensmittel und schwer zu transportierende Dinge wie Möbel verschenkt werden ohne das sie auf dem Müll landen müssen. Eine App könnte einem beim Laufen durch Bamberg darauf hinweisen, dass eine solche digitale Box in der Nähe ist oder direkt von zu Hause aus eine Route dorthin planen. Warum nicht auch mal ein Kaffee gegen ein kurzes Gespräch tauschen, um Anschluss zu sozialen Kontakten in Bamberg zu finden?"
Digitalisierung;Digitale Verleihplattform & Nachbarschaften verbinden;"Im Gegensatz zum bedingungslos möglichen ""Digitalen Schenk & Tauschportal"" wollte ich das Verleihen von Dingen als zusätzlichen Punkt vorschlagen, um hier das Interesse abzusehen. Es gibt viele Dinge, die ein jeder besitzt, aber nicht immer benötigt und somit auch verleihen kann: Ein Grill, ein Fondue-Set, ein Fahrrad, ... Warum muss ich alles selbst besitzen, wenn ich mich auch mit Nachbarn austauschen könnte? Unter dem Aspekt ist auch die Transition Gruppe ""Lebendige Nachbarschaften (LeNa)"" aktiv: https://www.transition-bamberg.de/lena/";Ich schlage vor die bisherigen Angebote einfacher zugänglich, gesammelt und skalierbar auf einer Plattform als Zusatz zu gestalten. Das heißt: Bisher etablierte Repair-Cafes und weitere soziale Dienste kann ich übersichtlich auf einer Karte suchen & finden. Zusätzlich hat man eine lokale digitale Tauchplattform, auf der ich meinen Nachbarn einfach mitteilen kann was sie sich ausleihen können. Außerdem können mir z.B. Nachbarschaftstreffen angezeigt werden bzw. ich kann dazu einladen.
Digitalisierung;Digitalisierung von Bambergs gärtnerischen Angeboten;Wettbewerbsdruck auf Bambergs Gärtnerschaft ;"Beteiligungsverfahren mit der Gärtnerschaft für eine bedarfsorientierte Entwicklung digitaler Maßnahmen

Festlegung von Maßnahmen auf Basis der Ergebnisse des Beteiligungsprozesses

Installation und Qualifizierung einer Koordinierungsstelle für Digitalisierungsmaßnahmen in der Gärtnerstadt

Umsetzung von Maßnahmen wie Push-Nachrichten zu frisch geerntetem saisonalen Gemüse oder Vernetzung mit Transportdiensten / Lastenfahrrad"
Digitalisierung;Inklusion durch digitale Maßnahmen;Nutzbarkeit des öffentlichen Raums / öffentlicher Einrichtungen für alle ist eingeschränkt ;"Die Etablierung eines GPS-basierten digitalen Informations- und Leitsystems verknüpft multimediale Inhalte mit kommunalen Örtlichkeiten und macht diese mit dem Smartphone zugänglich. Per App kann man sich zielgerichtet im Innen- und Außenbereich leiten lassen.  

Barrierefrei, interaktiv, aktuell und mehrsprachig sollen Informationen zur Orientierung und Positionierung, Anleitungen und Fluchtwege, Kontakte und Dokumente und Informationen zum Ausstellungsexponaten verfügbar gemacht werden."
Barrierefreiheit;Aufhebung von Sprachbarrieren durch die Einführung von Live-Übersetzungsapps;Ob Bürger oder Tourist, nicht jeder ist der deutschen Sprache mächtig. Nicht selten entstehen Frust, Missverständnisse oder gar Benachteilungen wegen mangelndem Zugang zu Informationen, wenn der Gegenüber oder die Information nicht verstanden wird. Die Aufhebung von Sprachbarrieren würden Bürger, Touristen wie auch Mitarbeiter von öffentlichen Einrichtungen, Verwaltungen und sonstige Anbietern, wie z.B. Unternehmen, den Alltag erleichtern.;"Die Lösung wäre recht banal nach heutiger Technik. Die Sprachbarrieren könnten heute sehr einfach über die Einführung von Live-Übersetzungsapps in Verwaltungen und Öffentlichen Einrichtungen oder sonstige Anbieter und Unternehmen, aufgehoben werden.

Sehr leistungsfähige Apps, die viele Sprachen abdecken, gibt es bereits und sind im Prinzip schon jetzt über das Internet von jedem nutzbar. Die Übersetzung funktioniert in beiden Richtungen und zwar in Echtzeit. Die zu übersetzenden Sprache kann als Text auf einem Computer, Tablet oder Smartphone eingetippt oder auch sogar eingesprochen werden. Die Übersetzung wird meist als Text ausgegeben.

Zwei Beispiele für Übersetzungsapps sind Google Translate und DeepL. DeepL hat übrigens allen anderen Apps die Nase vorn, was die Qualität der Übersetzung angeht.

Vorschlag für die schnelle Einführung einer Übersetzungsapp:

1. Die Mitarbeiter der oben genannten Einrichtungen über die Existez der Tools informieren.

2. Die Mitarbeiter könnten ermuntert werden die Apps auszuprobieren. Denkbar wäre auch kleine Schulungen anzubieten (die Apps sind i.d.R. sehr einfach aufgebaut), vor allem für Mitarbeiter, die sich anfänglich schwer mit neuer Technik tun.

3. Mitarbeiter mit Zugang zu einem Computer, könnten sofort eins der beispielsweise oben genannten Apps, bei Verständnisproblemen einsetzen. Allen anderen Mitarbeitern mit Kundenzugang aber ohne Computer, könnten ein Tablet oder Smartphone zur Verfügung gestellt werden.

Langfristig könnte man sich natürlich, vor allem in der Verwaltung und in öffentlichen Einrichtungen, auf einer bestimmten App festlegen. Das hätte den Vorteil, dass sowohl Mitarbeiter wie auch Bürger an einer Benutzeroberfläche gewöhnt werden würden."
Digitalisierung;100 % solare & smarte LED-Straßenbeleuchtung für bisher unbeleuchtete Bushaltestellen;Bisher unbeleuchtete Bushaltestellen sind eine Gefahrenquelle im Straßenverkehr, vermitteln bei Dunkelheit ein Unsicherheitsgefühl und erschweren vor Ort die Lesbarkeit von evtl. wichtigen Verkehrshinweisen.;"100% solare & smarte LED-Straßenbeleuchtung.
Unbeleuchtete Bushaltestellen können mit relativ wenig Aufwand nachgerüstet werden - mit smarter Technik.
Elektrokabelgräben sind nicht notwendig, wenn qualitativ hochwertige 100 % solare LED-Beleuchtung genutzt wird!
Und mit Licht - nur bei Bedarf - kann gleichzeitig der zunehmenden Lichtverschmutzung vorgebeugt werden.
Intelligente Technik bei den Solarleuchten ( z.B. Bewegungsmelder & Zeitschaltung) macht das möglich - ganzjährig!"
Digitalisierung;Lokales Shopping-Portal Bamberger Händler & Onlineshops;"Onlineshopping wird gern als Feind des stationären Handels gesehen - sollte es aber nicht sein, sondern vielmehr eine Erweiterung des stationären Handels.
Aktuell sind eine Vielzahl Bamberger Händler entweder garnicht online vertreten oder mit einzelnen Shops. ";"Das Ziel wäre eine Plattform aufzubauen, die Bamberger Händler mit ihren Online-Präsenzen verbindet.

- Zielsetzung 1: Transparenz rund um die aktuelle Shops Bamberger Händler aufbauen - Hierbei bewusst langfristig arbeiten, also unabhängig von Corona-Lieferlösungen, Abholservices oder ähnliches. Stand: Aktuell gestartet mit www.bamberg-bestellt.de

- Zielsetzung 2: Produkte der Onlineshops zusammenfassen - Unabhängig der verschiedenen Onlineshops versuchen die Produkte der Händler zusammenzufassen um eine Art ""Bamberger Produktsuche"" zu bieten, die es dem Bamberger ermöglicht ohne durch alle Läden zu rennen und zu hoffen, dass es verfügbar ist. Stand: Technische Möglichkeit definiert, Onlineshop-Partner-Suche gestartet

- Zielsetzung 3: Händler unterstützen - Händlern, die noch nicht mit einem Onlineshop unterwegs sind, helfen um die passende Lösung zu finden. Egal ob der komplett Eigenständige Onlineshop, ein Onlineshop eines Onlineanbieters oder auch nur Teil eines Marktplatzes werden. Hierbei auch auf Zwischenschritte (bsp. Bestandsmanagement in Läden) achten und Unterstützung bieten."
Stadtgestaltung;" Altes Hallenbad am Margaretendamm in Bamberg
";Seit Jahren wird erfolglos versucht, das alte Hallenbad am Margaretendamm in BA wieder zu beleben. Sehr schade! ;"Z. B. könnte man das Hallenbad wieder seiner eigentlichen Nutzung zuführen. Und zwar als ein für Senioren bzw. ältere Mitbürger ausgelegtes Erholungsbad mit physiotherapeutischer Praxis, kleinem Café-Bereich (den man auf der Terrasse einrichten kann, die wunderbar als Freiraum dienen kann) und/oder Damfbad. etc. Ja, und man sollte bei solch einem Projekt maximalen Gewinn und Profitgier ein wenig moderat sehen.
Dieses Bad ist optimal mit dem öffentlichen Nahverkehr erreichbar - Bus vor der ""Haustür"". Nicht jeder hat einen PKW ! Zum Beispiel ist der Weg mit dem Bus zum Bambados eine Weltreise. Und sehr viele Mitbürger möchten sich nicht unbedingt in einem ""Spaßbad"" erholen, wenn man da von Erholung sprechen kann."
Stadtgestaltung;Veränderung des Maxplatzes;"Der Maxplatz wird als Platz genutzt, auf dem sich Menschen aufhalten. Dies tun viele ungern oder fühlen sich zumindest unwohl. Das ist wie bei MC D oder Burger...Man geht halt mal hin, aber bleiben will man nicht. Woran liegt das? Der Platz ist unpersönlich, er ist durchgehend gepflastert, keine Bäume oder sonstige Natur. Nicht ausreichende Sitzgelegenheiten, die Bänke am Rathaus sind meistens voll oder dermassen in der Sonne, dass es zu heiss ist. Nicht jeder Bürger will etwas konsumieren. Und als ""Vorhalteplatz"" für 2 bis 3 Veranstaltungen im Jahr ist er zu schade. Was tun? ";"Aufreissen, Platten weg, Denkmal versetzen, und Tiefgarage entfernen oder reduzieren auf Anwohnerparkplätze und...begrünen, bepflanzen, etc.,""ein Bild"" schaffen, das ruhig angelehnt sein kann an Plätze in anderen Städten. Anregungen lassen sich zuhauf finden z. B. Meissen"
